site_name,site,dt,month,year,time,hour,secchi,secchi_on_bottom,Sample Comments,Validation Comments
FORE RIVER - FR07,FR07,2016-07-21,Jul,2016,NA,NA,1.92,FALSE,NA,NA
FORE RIVER - FR07,FR07,2016-08-23,Aug,2016,NA,NA,2.52,FALSE,NA,NA
FORE RIVER - FR07,FR07,2016-09-19,Sep,2016,NA,NA,1.92,FALSE,NA,NA
FORE RIVER - FR09,FR09,2016-06-27,Jun,2016,NA,NA,2.25,FALSE,STRONG WESTERLY BREEZE MADE SECCHI VALUES APPROXIMATE,NA
FORE RIVER - FR09,FR09,2016-07-21,Jul,2016,NA,NA,1.89,FALSE,NA,NA
FORE RIVER - FR09,FR09,2016-08-23,Aug,2016,NA,NA,2.25,FALSE,NA,NA
FORE RIVER - FR09,FR09,2016-09-19,Sep,2016,NA,NA,1.91,FALSE,NA,NA
FORE RIVER - FR09,FR09,2017-06-02,Jun,2017,NA,NA,2.69,FALSE,NA,NA
FORE RIVER - FR09,FR09,2017-06-27,Jun,2017,NA,NA,2.78,FALSE,NA,NA
FORE RIVER - FR09,FR09,2017-07-18,Jul,2017,NA,NA,2.62,FALSE,NA,NA
FORE RIVER - FR09,FR09,2017-08-08,Aug,2017,NA,NA,2.03,FALSE,NA,NA
FORE RIVER - FR09,FR09,2017-08-30,Aug,2017,NA,NA,2.19,FALSE,NA,NA
FORE RIVER - FR09,FR09,2017-09-25,Sep,2017,NA,NA,3.23,FALSE,NA,NA
FORE RIVER - FR09,FR09,2018-05-10,May,2018,NA,NA,3.58,FALSE,NA,NA
FORE RIVER - FR09,FR09,2018-05-31,May,2018,NA,NA,3.38,FALSE,NA,NA
FORE RIVER - FR09,FR09,2018-06-25,Jun,2018,NA,NA,3.59,FALSE,NA,NA
FORE RIVER - FR09,FR09,2018-07-18,Jul,2018,NA,NA,3.45,FALSE,NA,NA
FORE RIVER - FR09,FR09,2018-08-08,Aug,2018,NA,NA,2.4,FALSE,NA,NA
FORE RIVER - FR09,FR09,2018-08-30,Aug,2018,NA,NA,2.49,FALSE,NA,NA
FORE RIVER - FR09,FR09,2018-09-20,Sep,2018,NA,NA,2.1,FALSE,NA,NA
FORE RIVER - FR09,FR09,2018-10-12,Oct,2018,NA,NA,3.21,FALSE,NA,NA
FORE RIVER - FR09,FR09,2019-05-15,May,2019,NA,NA,2.88,FALSE,NA,NA
FORE RIVER - FR09,FR09,2019-06-05,Jun,2019,NA,NA,4.02,FALSE,NA,NA
FORE RIVER - FR09,FR09,2019-06-27,Jun,2019,NA,NA,2.68,FALSE,NA,NA
FORE RIVER - FR09,FR09,2019-07-19,Jul,2019,NA,NA,2.26,FALSE,NA,NA
FORE RIVER - FR09,FR09,2019-08-12,Aug,2019,NA,NA,2.75,FALSE,NA,NA
FORE RIVER - FR09,FR09,2019-09-03,Sep,2019,NA,NA,2.84,FALSE,NA,NA
FORE RIVER - FR09,FR09,2019-09-24,Sep,2019,NA,NA,3.1,FALSE,NA,NA
FORE RIVER - FR09,FR09,2019-10-16,Oct,2019,NA,NA,2.95,FALSE,NA,NA
FORE RIVER - FR09,FR09,2020-05-26,May,2020,NA,NA,3.95,FALSE,NA,NA
FORE RIVER - FR09,FR09,2020-06-16,Jun,2020,NA,NA,5.18,FALSE,"SURFACE DISRUPTED, MAKING OBSERVATIONS DIFFICULT",NA
FORE RIVER - FR09,FR09,2020-07-16,Jul,2020,NA,NA,2.69,FALSE,NA,NA
FORE RIVER - FR09,FR09,2020-07-29,Jul,2020,NA,NA,3.24,FALSE,NA,NA
FORE RIVER - FR09,FR09,2020-08-21,Aug,2020,NA,NA,2.25,FALSE,"CHOPPY SURFACE, BAD VIEWING",NA
FORE RIVER - FR09,FR09,2020-09-14,Sep,2020,NA,NA,4.72,FALSE,WAVE ACTION DECREASED TRANSPARENCY DEPTH,NA
FORT GORGES - P6FGG,P6FGG,2018-05-10,May,2018,NA,NA,4.32,FALSE,NA,NA
FORT GORGES - P6FGG,P6FGG,2018-05-31,May,2018,NA,NA,2.47,FALSE,NA,NA
FORT GORGES - P6FGG,P6FGG,2018-06-25,Jun,2018,NA,NA,2.2,FALSE,NA,NA
FORT GORGES - P6FGG,P6FGG,2018-07-18,Jul,2018,NA,NA,3.03,FALSE,NA,NA
FORT GORGES - P6FGG,P6FGG,2018-08-08,Aug,2018,NA,NA,2.53,FALSE,NA,NA
FORT GORGES - P6FGG,P6FGG,2018-08-30,Aug,2018,NA,NA,2.05,FALSE,NA,NA
FORT GORGES - P6FGG,P6FGG,2018-09-20,Sep,2018,NA,NA,1.97,FALSE,NA,NA
FORT GORGES - P6FGG,P6FGG,2018-10-12,Oct,2018,NA,NA,2.4,FALSE,NA,NA
FORT GORGES - P6FGG,P6FGG,2019-09-24,Sep,2019,NA,NA,2.97,FALSE,NA,NA
HARRASEEKET RIVER - HR02,HR02,2016-07-05,Jul,2016,NA,NA,1.2,FALSE,NA,NA
HARRASEEKET RIVER - HR02,HR02,2016-07-19,Jul,2016,NA,NA,1.07,FALSE,NA,NA
HARRASEEKET RIVER - HR02,HR02,2016-08-01,Aug,2016,NA,NA,1.11,FALSE,NA,NA
HARRASEEKET RIVER - HR03,HR03,2016-07-05,Jul,2016,NA,NA,1.37,FALSE,NA,NA
HARRASEEKET RIVER - HR03,HR03,2016-07-19,Jul,2016,NA,NA,1.52,FALSE,NA,NA
HARRASEEKET RIVER - HR03,HR03,2016-08-01,Aug,2016,NA,NA,1.27,FALSE,NA,NA
HARRASEEKET RIVER - HR04,HR04,2016-07-05,Jul,2016,NA,NA,1.7,FALSE,NA,NA
HARRASEEKET RIVER - HR04,HR04,2016-07-19,Jul,2016,NA,NA,1.57,FALSE,NA,NA
HARRASEEKET RIVER - HR04,HR04,2016-08-01,Aug,2016,NA,NA,1.54,FALSE,NA,NA
HARRASEEKET RIVER - HR05,HR05,2016-07-05,Jul,2016,NA,NA,1.69,FALSE,NA,NA
HARRASEEKET RIVER - HR05,HR05,2016-07-19,Jul,2016,NA,NA,1.88,FALSE,NA,NA
HARRASEEKET RIVER - HR05,HR05,2016-08-01,Aug,2016,NA,NA,1.78,FALSE,NA,NA
LONG CREEK - LC02,LC02,2016-06-27,Jun,2016,NA,NA,2.35,FALSE,NA,NA
LONG CREEK - LC02,LC02,2016-07-21,Jul,2016,NA,NA,2.21,FALSE,NA,NA
LONG CREEK - LC02,LC02,2016-08-23,Aug,2016,NA,NA,2,FALSE,NA,NA
LONG CREEK - LC02,LC02,2016-09-19,Sep,2016,NA,NA,2.3,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2017-06-02,Jun,2017,NA,NA,1,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2017-06-27,Jun,2017,NA,NA,2.5,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2017-07-18,Jul,2017,NA,NA,0.8,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2017-08-08,Aug,2017,NA,NA,2.02,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2017-08-30,Aug,2017,NA,NA,1.5,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2017-09-25,Sep,2017,NA,NA,3.18,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2018-05-10,May,2018,NA,NA,1.5,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2018-05-31,May,2018,NA,NA,3.5,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2018-06-25,Jun,2018,NA,NA,1.7,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2018-07-18,Jul,2018,NA,NA,2.86,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2018-08-08,Aug,2018,NA,NA,1.4,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2018-08-30,Aug,2018,NA,NA,2.88,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2018-09-20,Sep,2018,NA,NA,1.9,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2018-10-12,Oct,2018,NA,NA,2.8,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2019-05-15,May,2019,NA,NA,1.59,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2019-06-05,Jun,2019,NA,NA,3.2,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2019-06-27,Jun,2019,NA,NA,1.18,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2019-07-19,Jul,2019,NA,NA,2.17,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2019-08-12,Aug,2019,NA,NA,1.5,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2019-09-03,Sep,2019,NA,NA,2.64,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2019-09-24,Sep,2019,NA,NA,2.88,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2019-10-16,Oct,2019,NA,NA,2.67,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2020-05-26,May,2020,NA,NA,3.3,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2020-06-16,Jun,2020,NA,NA,2.13,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2020-07-16,Jul,2020,NA,NA,1.63,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2020-07-29,Jul,2020,NA,NA,2.47,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2020-08-21,Aug,2020,NA,NA,2.5,FALSE,WAVES AFFECTED ACCURACY,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2020-09-14,Sep,2020,NA,NA,2.3,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2020-09-24,Sep,2020,NA,NA,2.68,FALSE,NA,NA
PRESUMPSCOT RIVER - CBPR,CBPR,2020-10-19,Oct,2020,NA,NA,3.75,TRUE,DISK HIT BOTTOM,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2018-05-10,May,2018,NA,NA,1.82,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2018-05-31,May,2018,NA,NA,1.55,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2018-06-25,Jun,2018,NA,NA,0.43,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2018-07-18,Jul,2018,NA,NA,1.03,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2018-08-08,Aug,2018,NA,NA,1.1,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2018-08-30,Aug,2018,NA,NA,1.85,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2018-09-20,Sep,2018,NA,NA,2.25,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2018-10-12,Oct,2018,NA,NA,2.08,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2019-05-15,May,2019,NA,NA,0.63,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2019-06-05,Jun,2019,NA,NA,1.33,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2019-06-27,Jun,2019,NA,NA,0.92,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2019-07-19,Jul,2019,NA,NA,1.59,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2019-08-12,Aug,2019,NA,NA,1.38,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2019-09-03,Sep,2019,NA,NA,1.88,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2019-09-24,Sep,2019,NA,NA,1.93,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2019-10-16,Oct,2019,NA,NA,2.42,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2020-05-26,May,2020,NA,NA,2.47,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2020-06-16,Jun,2020,NA,NA,1.02,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2020-07-16,Jul,2020,NA,NA,0.82,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2020-07-29,Jul,2020,NA,NA,1.5,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2020-08-21,Aug,2020,NA,NA,1.98,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2020-09-14,Sep,2020,NA,NA,2.2,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2020-09-24,Sep,2020,NA,NA,0.8,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-17,PR-17,2020-10-19,Oct,2020,NA,NA,1.52,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2017-06-02,Jun,2017,NA,NA,1.04,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2017-06-27,Jun,2017,NA,NA,2.1,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2017-07-18,Jul,2017,NA,NA,1.64,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2017-08-08,Aug,2017,NA,NA,1.73,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2017-08-30,Aug,2017,NA,NA,2.58,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2017-09-25,Sep,2017,NA,NA,2.76,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2018-05-10,May,2018,NA,NA,2.1,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2018-05-31,May,2018,NA,NA,2.47,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2018-06-25,Jun,2018,NA,NA,1.45,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2018-07-18,Jul,2018,NA,NA,2.63,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2018-08-08,Aug,2018,NA,NA,1.5,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2018-08-30,Aug,2018,NA,NA,2.34,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2018-09-20,Sep,2018,NA,NA,2.73,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2018-10-12,Oct,2018,NA,NA,2.83,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2019-05-15,May,2019,NA,NA,1.03,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2019-06-05,Jun,2019,NA,NA,2.54,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2019-06-27,Jun,2019,NA,NA,1.12,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2019-07-19,Jul,2019,NA,NA,2.12,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2019-08-12,Aug,2019,NA,NA,2.05,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2019-09-03,Sep,2019,NA,NA,2.32,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2019-09-24,Sep,2019,NA,NA,2.72,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2019-10-16,Oct,2019,NA,NA,2.65,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2020-05-26,May,2020,NA,NA,3.19,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2020-06-16,Jun,2020,NA,NA,1.91,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2020-07-16,Jul,2020,NA,NA,1.15,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2020-07-29,Jul,2020,NA,NA,1.77,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2020-08-21,Aug,2020,NA,NA,2.07,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2020-09-14,Sep,2020,NA,NA,2.31,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2020-09-24,Sep,2020,NA,NA,1.42,FALSE,NA,NA
PRESUMPSCOT RIVER - PR-28,PR-28,2020-10-19,Oct,2020,NA,NA,3.68,FALSE,NA,NA
ROYAL RIVER - RR-01,RR-01,2017-06-01,Jun,2017,NA,NA,0.6,FALSE,NA,NA
ROYAL RIVER - RR-01,RR-01,2017-06-26,Jun,2017,NA,NA,1.43,FALSE,NA,NA
ROYAL RIVER - RR-01,RR-01,2017-07-17,Jul,2017,NA,NA,1.65,FALSE,NA,NA
ROYAL RIVER - RR-01,RR-01,2017-08-07,Aug,2017,NA,NA,1.19,FALSE,NA,NA
ROYAL RIVER - RR-01,RR-01,2017-08-29,Aug,2017,NA,NA,1.8,TRUE,DISK HIT BOTTOM,NA
ROYAL RIVER - RR-01,RR-01,2017-09-20,Sep,2017,NA,NA,1.55,FALSE,NA,NA
ROYAL RIVER - RR-06,RR-06,2016-08-09,Aug,2016,NA,NA,1.08,FALSE,NA,NA
ROYAL RIVER - RR-06,RR-06,2017-06-01,Jun,2017,NA,NA,0.72,FALSE,NA,NA
ROYAL RIVER - RR-06,RR-06,2017-06-26,Jun,2017,NA,NA,1.08,FALSE,NA,NA
ROYAL RIVER - RR-06,RR-06,2017-07-17,Jul,2017,NA,NA,1.44,FALSE,NA,NA
ROYAL RIVER - RR-06,RR-06,2017-08-07,Aug,2017,NA,NA,1.22,FALSE,NA,NA
ROYAL RIVER - RR-06,RR-06,2017-08-29,Aug,2017,NA,NA,1.45,FALSE,NA,NA
ROYAL RIVER - RR-06,RR-06,2017-09-20,Sep,2017,NA,NA,1.07,FALSE,NA,NA
ROYAL RIVER - RR-13,RR-13,2016-08-09,Aug,2016,NA,NA,1.08,FALSE,NA,NA
ROYAL RIVER - RR-13,RR-13,2017-06-01,Jun,2017,NA,NA,0.78,FALSE,NA,NA
ROYAL RIVER - RR-13,RR-13,2017-06-26,Jun,2017,NA,NA,1.19,FALSE,"CLOUDS ON FIRST AND THIRD, ERRATIC",NA
