site,short_name,years,nox_n_mn,nox_n_sd,nox_n_n,nox_n_md,nox_n_iqr,nox_n_p90,nox_n_gm,nh4_n_mn,nh4_n_sd,nh4_n_n,nh4_n_md,nh4_n_iqr,nh4_n_p90,nh4_n_gm,din_mn,din_sd,din_n,din_md,din_iqr,din_p90,din_gm,on_mn,on_sd,on_n,on_md,on_iqr,on_p90,on_gm,tn_mn,tn_sd,tn_n,tn_md,tn_iqr,tn_p90,tn_gm,chl_mn,chl_sd,chl_n,chl_md,chl_iqr,chl_p90,chl_gm,tss_mn,tss_sd,tss_n,tss_md,tss_iqr,tss_p90,tss_gm
EEB18,East End Beach,2018 - 2020,0.027473913043478262,0.01886972605166334,23,0.0214,0.027200000000000002,0.056400000000000006,0.020893942547311792,0.027,0.02033961651555899,21,0.017,0.021,0.061,0.021101684431997118,0.05461428571428571,0.030322339713720736,21,0.0474,0.04440000000000001,0.093,0.045939131006673815,0.26289285714285715,0.15541282228204445,14,0.2082,0.13195,0.5055100000000002,0.23074500992998712,0.31185185525652176,0.13322363224158945,23,0.25313371029,0.12497242324500002,0.451,0.29095759366795865,2.566086956521739,1.6294609792823984,23,2.31,1.3100000000000003,3.918,2.159725760736276,4.9,1.1425648976992708,23,4.9,1.5499999999999998,6,4.763534130255791
FR01,Fore River 1,2016,0.03375,0.012711543310445562,4,0.036500000000000005,0.009749999999999991,0.0436,0.03145446942040809,0.0865,0.050375258477417924,4,0.08,0.032,0.1321,0.07493689640338495,0.12025,0.05337524394948155,4,0.111,0.05224999999999998,0.17190000000000003,0.11175435199990413,0.31275,0.10840164512896779,4,0.3325,0.09624999999999995,0.40090000000000003,0.2957211747604112,0.433,0.13686733235753032,4,0.4145,0.1355,0.5644,0.4172359330571946,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
FR02,Fore River 2,2016,0.02225,0.018227726133558185,4,0.023,0.03075,0.038,0.015502680483477593,0.093,0.04181706190858782,4,0.0875,0.030500000000000013,0.1316,0.08598784125937554,0.11524999999999999,0.03170042060709395,4,0.109,0.037250000000000005,0.14650000000000002,0.11213915825286737,0.54325,0.2914897082231206,4,0.49850000000000005,0.29174999999999995,0.8247,0.4850854243189535,0.6585,0.318605817063447,4,0.6075,0.29,0.9634,0.6022354137552078,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
FR03,Fore River 3,2016,0.02225,0.01668082731761228,4,0.023,0.026250000000000002,0.0371,0.016445746158991095,0.04775,0.02576011128340352,4,0.038,0.024250000000000008,0.07300000000000001,0.04342887676512009,0.06999999999999999,0.03659690332983562,4,0.057499999999999996,0.0315,0.10560000000000001,0.06401171172012017,0.18575,0.12307010197444382,4,0.1845,0.19375000000000003,0.2982,0.15146993150870633,0.25575,0.09615742301039477,4,0.2515,0.14475,0.3458,0.2418784527897939,2.765,0.7850477692471968,4,2.83,1.06,3.4670000000000005,2.676344752061851,6.025,1.4291605927956454,4,5.9,2.325,7.3500000000000005,5.897398086517023
FR04,Fore River 4,2016,0.028,0.015297058540778355,4,0.0315,0.015499999999999996,0.0402,0.02312082884710299,0.036000000000000004,0.027141603981096378,4,0.036,0.029500000000000002,0.06110000000000001,0.023976528089282804,0.064,0.03827096375408734,4,0.057499999999999996,0.05499999999999999,0.1013,0.05535789641987366,0.15525,0.02352835169180649,4,0.159,0.028250000000000025,0.1753,0.15385115008653905,0.21925,0.026612966764342532,4,0.2075,0.016250000000000014,0.244,0.2181234343953786,4.1575,1.7729706709362116,4,4.46,1.6875,5.625,3.793965734031363,5.3,3.160168771864355,4,4,2.000000000000001,8.260000000000002,4.75385265094753
FR05A,Fore River 5a,2016,0.0485,0.021920310216782972,2,0.0485,0.0155,0.0609,0.045956501172304244,0.057999999999999996,0.04242640687119285,2,0.057999999999999996,0.030000000000000013,0.08199999999999999,0.04963869458396341,0.1065,0.06434671708797582,2,0.1065,0.045499999999999985,0.14289999999999997,0.09629122493768577,0.15100000000000002,0.08061017305526642,2,0.15100000000000002,0.05700000000000001,0.19660000000000002,0.1398284663435883,0.2575,0.01626345596729061,2,0.2575,0.011499999999999955,0.2667,0.25724307570856014,4.43,0.9333809511662426,2,4.43,0.6600000000000001,4.958,4.380559325017754,4.15,0.9192388155425116,2,4.15,0.6499999999999995,4.67,4.09878030638384
FR05B,Fore River 5b,2016,0.106,0.05939696961966999,2,0.106,0.04200000000000001,0.1396,0.0973242004847715,0.107,0.05515432893255069,2,0.107,0.03900000000000001,0.1382,0.0996393496566492,0.213,0.004242640687119289,2,0.213,0.0030000000000000027,0.2154,0.21297887219158615,0.22899999999999998,0.04525483399593906,2,0.22899999999999998,0.032,0.2546,0.22675316976836288,0.44199999999999995,0.04949747468305833,2,0.44199999999999995,0.03500000000000003,0.47,0.44061207427849725,2.87,0.8626702730475881,2,2.87,0.6099999999999999,3.3579999999999997,2.8044250747702275,9.25,8.131727983645296,2,9.25,5.75,13.849999999999998,7.24568837309472
FR06,Fore River 6,2016,0.06525,0.04642826007221607,4,0.0605,0.05174999999999999,0.1099,0.05091799186758544,0.10425,0.07358611735012703,4,0.0785,0.05374999999999999,0.17450000000000002,0.08872552907215958,0.16949999999999998,0.06950059951779793,4,0.16799999999999998,0.048500000000000015,0.2308,0.1578620280503015,0.31375000000000003,0.11387822443294417,4,0.3055,0.13125000000000003,0.42250000000000004,0.2980121996354185,0.48325,0.08671553109641512,4,0.5195000000000001,0.04875000000000007,0.5343,0.4765858306598576,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
FR07,Fore River 7,2016,0.03125,0.015217862311551296,4,0.0275,0.016749999999999998,0.0463,0.028711317207480904,0.0565,0.02167179426505029,4,0.064,0.01800000000000001,0.0715,0.05223730440120902,0.08775,0.027741365022891956,4,0.08399999999999999,0.019750000000000004,0.11330000000000001,0.08455953333829389,0.21975,0.11367607487945737,4,0.196,0.11775000000000005,0.33110000000000006,0.19911178942600538,0.3075,0.13699999999999998,4,0.266,0.14550000000000002,0.44320000000000004,0.2872337833222022,3.3875,1.4076309885761966,4,3.085,0.8575000000000004,4.682,3.1860607843897943,5.7,3.677861697599118,4,4.65,2.3499999999999996,9.14,4.936812252244143
FR08,Fore River 8,2016,0.07375,0.025024987512484397,4,0.0675,0.030749999999999993,0.09860000000000001,0.07077317698730462,0.074,0.03388214869219484,4,0.076,0.054000000000000006,0.10379999999999999,0.0677698249716749,0.14775,0.05668847619519627,4,0.144,0.08825,0.20080000000000003,0.13944711243031777,0.34275000000000005,0.15472421702284792,4,0.28500000000000003,0.14725,0.4946000000000001,0.32054822457103416,0.49050000000000005,0.2060331688507136,4,0.4255,0.239,0.6954,0.4612752258691553,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
FR09,Fore River 9,2018 - 2020,0.02425,0.018477624821594874,22,0.01895,0.029974999999999998,0.052100000000000014,0.017066367066834377,0.02325,0.01864876177630766,20,0.0135,0.02824999999999999,0.050600000000000006,0.016883575300164,0.046965,0.03294749052020422,20,0.03265,0.05277500000000001,0.08920000000000002,0.036005645374316,0.24437692307692307,0.08294641999353311,13,0.2369,0.11800000000000002,0.34299999999999997,0.22866603137213204,0.30453573548681817,0.12204695191818908,22,0.2925,0.13108261378,0.3889,0.2857320663621172,2.9927727272727274,1.6274076941658788,22,2.88,1.8374999999999995,4.893000000000002,2.572055921445104,4.054545454545455,1.4168130813058255,22,3.8499999999999996,1.6749999999999998,5.49,3.841380896336126
